LIST-ID,EDCS-ID,EDH-ID,urban_context_city,pleiades_id,province_edcs,province_edh,province,most_common_province,most_common_count
279280,EDCS-77500090,,Acmonia,,Pontus et Bithynia,,Bithynia et Pontus,Asia,3.0
516764,EDCS-20601007,HD014009,Albintimilium,157802,Roma,Liguria (Regio IX),Roma,Liguria / Regio IX,71.0
436316,EDCS-04500066,,Albona,,Venetia et Histria / Regio X,,Venetia et Histria / Regio X,Dalmatia,44.0
464046,EDCS-07600433,HD006478,Amasia,857018,Cappadocia,Bithynia et Pontus,Cappadocia,Bithynia et Pontus,8.0
464048,EDCS-60300418,HD006469,Amasia,857018,Cappadocia,Bithynia et Pontus,Cappadocia,Bithynia et Pontus,8.0
464082,EDCS-07600443,HD006466,Amasia,857018,Cappadocia,Bithynia et Pontus,Cappadocia,Bithynia et Pontus,8.0
453673,EDCS-16200832,HD025390,Apamea (Syria) (1),668335,Arabia,Iudaea,Arabia,Syria,21.0
495169,EDCS-29600060,HD045825,Apamea (Syria) (1),668335,Macedonia,Macedonia,Macedonia,Syria,21.0
495172,EDCS-29601133,HD051484,Apamea (Syria) (1),668335,Macedonia,Macedonia,Macedonia,Syria,21.0
505747,EDCS-03300868,HD051014,Apamea (Syria) (1),668335,Palaestina,Iudaea,Palaestina,Syria,21.0
497402,EDCS-30100822,HD038305,Apulum (2),206927,Moesia inferior,Dacia,Moesia Inferior,Dacia,854.0
500063,EDCS-10100441,HD033654,Aquae Balissae,,Moesia superior,Moesia superior,Moesia Superior,Pannonia Superior,22.0
237890,EDCS-69800205,,Aquae Tarbellicae,,Lugudunensis,,Lugdunensis,Aquitani(c)a,23.0
516726,EDCS-20403341,HD023936,Aricia,197099,Roma,Latium et Campania (Regio I),Roma,Latium et Campania / Regio I,394.0
409770,EDCS-24700073,,Asisium,,Samnium / Regio IV,,Samnium / Regio IV,Umbria / Regio VI,331.0
463784,EDCS-11400428,HD015655,Atina,442481,Bruttium et Lucania / Regio III,Latium et Campania (Regio I),Bruttium et Lucania / Regio III,Latium et Campania / Regio I,50.0
463785,EDCS-06600039,HD024784,Atina,442481,Bruttium et Lucania / Regio III,Bruttium et Lucania (Regio III),Bruttium et Lucania / Regio III,Latium et Campania / Regio I,50.0
463787,EDCS-06600037,HD013150,Atina,442481,Bruttium et Lucania / Regio III,Bruttium et Lucania (Regio III),Bruttium et Lucania / Regio III,Latium et Campania / Regio I,50.0
463788,EDCS-06600038,HD013153,Atina,442481,Bruttium et Lucania / Regio III,Bruttium et Lucania (Regio III),Bruttium et Lucania / Regio III,Latium et Campania / Regio I,50.0
463790,EDCS-10700926,HD008195,Atina,442481,Bruttium et Lucania / Regio III,Bruttium et Lucania (Regio III),Bruttium et Lucania / Regio III,Latium et Campania / Regio I,50.0
463792,EDCS-10700928,HD008201,Atina,442481,Bruttium et Lucania / Regio III,Bruttium et Lucania (Regio III),Bruttium et Lucania / Regio III,Latium et Campania / Regio I,50.0
492529,EDCS-04900704,HD053537,Augusta Auscorum,167657,Lugudunensis,Lugdunensis,Lugdunensis,Aquitani(c)a,85.0
456201,EDCS-05501043,HD000362,Augusta Emerita,256155,Baetica,Lusitania,Baetica,Lusitania,553.0
456792,EDCS-10001256,HD045464,Augusta Emerita,256155,Baetica,Baetica,Baetica,Lusitania,553.0
456979,EDCS-11701246,HD052651,Augusta Emerita,256155,Baetica,Lusitania,Baetica,Lusitania,553.0
487196,EDCS-08500423,HD000125,Augusta Emerita,256155,Hispania citerior,Lusitania,Hispania Citerior,Lusitania,553.0
520267,EDCS-27800826,HD049181,Beroea (Macedonia),658409,Syria,Syria,Syria,Macedonia,14.0
520269,EDCS-07400684,HD012881,Beroea (Macedonia),658409,Syria,Syria,Syria,Macedonia,14.0
497560,EDCS-08900612,HD006842,Beroea (Thracia),216731,Moesia inferior,Moesia inferior,Moesia Inferior,Thracia,19.0
242077,EDCS-72600197,,Bracara,,Lusitania,,Lusitania,Hispania Citerior,24.0
242078,EDCS-72600198,,Bracara,,Lusitania,,Lusitania,Hispania Citerior,24.0
246468,EDCS-81200177,,Bracara,,Lusitania,,Lusitania,Hispania Citerior,24.0
246561,EDCS-81200178,,Bracara,,Lusitania,,Lusitania,Hispania Citerior,24.0
246562,EDCS-72600200,,Bracara,,Lusitania,,Lusitania,Hispania Citerior,24.0
246572,EDCS-58800010,,Bracara,,Lusitania,,Lusitania,Hispania Citerior,24.0
445033,EDCS-78700060,,Brixellum,,Venetia et Histria / Regio X,,Venetia et Histria / Regio X,Aemilia / Regio VIII,26.0
516483,EDCS-12000966,HD071437,Camulodunum,79393,Roma,Britannia,Roma,Britannia,42.0
478585,EDCS-11100668,HD075007,Carnuntum (1),128376,Germania inferior,Pannonia superior,Germania Inferior,Pannonia Superior,1646.0
506603,EDCS-31001225,HD074769,Carnuntum (1),128376,Pannonia inferior,Pannonia superior,Pannonia Inferior,Pannonia Superior,1646.0
491949,EDCS-09701721,HD015611,Carthago,314921,Latium et Campania / Regio I,Africa Proconsularis,Latium et Campania / Regio I,Africa Proconsularis,441.0
515244,EDCS-71200400,HD010586,Casinum,432764,Roma,Latium et Campania (Regio I),Roma,Latium et Campania / Regio I,113.0
520480,EDCS-03300859,HD051006,Celaenae,609330,Syria,Asia,Syria,Asia,4.0
509962,EDCS-09200405,HD013950,Celeia,197206,Pannonia superior,Noricum,Pannonia Superior,Noricum,363.0
510399,EDCS-14400609,HD066960,Celeia,197206,Pannonia superior,Noricum,Pannonia Superior,Noricum,363.0
510476,EDCS-11300941,HD067363,Celeia,197206,Pannonia superior,Noricum,Pannonia Superior,Noricum,363.0
512274,EDCS-14500604,HD066819,Celeia,197206,Pannonia superior,Noricum,Pannonia Superior,Noricum,363.0
512275,EDCS-14500605,HD066818,Celeia,197206,Pannonia superior,Noricum,Pannonia Superior,Noricum,363.0
512276,EDCS-14500606,HD001842,Celeia,197206,Pannonia superior,Noricum,Pannonia Superior,Noricum,363.0
512277,EDCS-14500607,HD066817,Celeia,197206,Pannonia superior,Noricum,Pannonia Superior,Noricum,363.0
512278,EDCS-14400648,HD004738,Celeia,197206,Pannonia superior,Noricum,Pannonia Superior,Noricum,363.0
512279,EDCS-14400649,HD004792,Celeia,197206,Pannonia superior,Noricum,Pannonia Superior,Noricum,363.0
512280,EDCS-14400650,HD024513,Celeia,197206,Pannonia superior,Noricum,Pannonia Superior,Noricum,363.0
496232,EDCS-25001083,HD030943,Cirta,305064,Mauretania Caesariensis,Africa Proconsularis,Mauretania Caesariensis,Numidia,1019.0
4008,EDCS-47900026,,Clusium,,Aemilia / Regio VIII,,Aemilia / Regio VIII,Etruria / Regio VII,331.0
453375,EDCS-08500468,HD000638,Condevicnum,138533,Aquitani(c)a,Aquitania,Aquitani(c)a,Lugdunensis,5.0
174863,EDCS-74700520,,Corduba,,Hispania citerior,,Hispania Citerior,Baetica,514.0
493444,EDCS-14700028,HD048277,Corstopitum,89152,Lusitania,Lusitania,Lusitania,Britannia,124.0
493445,EDCS-14700029,HD048278,Corstopitum,89152,Lusitania,Lusitania,Lusitania,Britannia,124.0
493450,EDCS-05000414,HD006503,Corstopitum,89152,Lusitania,Lusitania,Lusitania,Britannia,124.0
493452,EDCS-09400459,HD010615,Corstopitum,89152,Lusitania,Lusitania,Lusitania,Britannia,124.0
493453,EDCS-09400457,HD010609,Corstopitum,89152,Lusitania,Lusitania,Lusitania,Britannia,124.0
493454,EDCS-05000413,HD054968,Corstopitum,89152,Lusitania,Lusitania,Lusitania,Britannia,124.0
493455,EDCS-08300393,HD006506,Corstopitum,89152,Lusitania,Lusitania,Lusitania,Britannia,124.0
493456,EDCS-15300360,HD022243,Corstopitum,89152,Lusitania,Lusitania,Lusitania,Britannia,124.0
493457,EDCS-09300264,HD006162,Corstopitum,89152,Lusitania,Lusitania,Lusitania,Britannia,124.0
493459,EDCS-09400456,HD010606,Corstopitum,89152,Lusitania,Lusitania,Lusitania,Britannia,124.0
492487,EDCS-19800289,HD048239,Dibio,177489,Lugudunensis,Germania superior,Lugdunensis,Germania Superior,187.0
