column,year,count_at_year,mean_of_neighbours,count_in_neighbours,chi2,pvalue
not_before,-14,20,109.5,1095,71.841,2.3327777341213878e-17
not_before,27,19,214.4,2144,176.519,2.7887066438084185e-40
not_before,97,118,2529.8,25298,2288.629,0.0
not_before,192,33,129.6,1296,70.215,5.3183252083072185e-17
not_before,193,465,126.8,1268,660.007,1.4885980096284279e-145
not_before,212,870,152.4,1524,2151.002,0.0
not_before,235,121,111.1,1111,0.796,0.37243147834016643
not_after,-14,14,26.7,267,5.74,0.016584136528713465
not_after,27,17,327.5,3275,292.862,1.1827967012676998e-65
not_after,97,500,1638.4,16384,767.564,6.088047208406565e-169
not_after,192,221,51.9,519,386.416,4.989431176629773e-86
not_after,193,77,77.2,772,0.0,0.9826826230396565
not_after,212,99,276.4,2764,109.922,1.0190697773243673e-25
not_after,235,716,486.7,4867,94.176,2.886721133272629e-22
