category,count,share
Roma,65457,0.35797607914554314
Latium et Campania / Regio I,18512,0.10123979371407633
Dalmatia,7088,0.03876337823278809
Hispania citerior,6312,0.03451953208314876
Germania superior,5874,0.03212416531312037
Venetia et Histria / Regio X,5872,0.03211322756531203
Dacia,4870,0.026633415913329288
Britannia,4647,0.025413857032698398
Pannonia superior,4460,0.024391177612617786
Samnium / Regio IV,4187,0.022898175036778178
Africa proconsularis,3518,0.01923949839488551
Germania inferior,3390,0.018539482535151187
Apulia et Calabria / Regio II,3132,0.017128513067874194
Pannonia inferior,3132,0.017128513067874194
Numidia,3014,0.016483185947181615
Etruria / Regio VII,2801,0.01531831580559247
Umbria / Regio VI,2763,0.015110498597233844
Noricum,2761,0.015099560849425495
Baetica,2593,0.014180790033524198
Transpadana / Regio XI,2434,0.01331123908276047
