group,count,pct_of_valid,date_range_min,date_range_max,date_range_mean,date_range_median,lat_null_rate,lon_null_rate,not_before_null_rate,not_after_null_rate,pop_est_null_rate,pop_est_mean
Roma,65452,46.1225,0.0,599.0,106.35129560594024,99.0,0.0,0.0,0.0,0.0,0.0,923313.0
Pompeii,4511,3.1788,0.0,299.0,47.64819330525383,78.0,0.0,0.0,0.0,0.0,0.0,9938.0
Salona,3472,2.4466,0.0,599.0,184.5625,149.0,0.0,0.0,0.0,0.0,0.0,9498.0
Mogontiacum,2971,2.0936,0.0,399.0,64.41433860652978,28.0,0.0,0.0,0.0,0.0,0.0,19930.0
Ostia,2647,1.8653,0.0,399.0,73.1405364563657,79.0,0.0,0.0,0.0,0.0,0.0,35016.0
Aquileia,2034,1.4333,0.0,350.0,92.14601769911505,99.0,0.0,0.0,0.0,0.0,0.0,14596.0
Puteoli,1780,1.2543,0.0,299.0,91.52640449438202,99.0,0.0,0.0,0.0,0.0,0.0,25091.0
Carnuntum (1),1648,1.1613,0.0,299.0,148.64866504854368,129.0,0.0,0.0,0.0,0.0,0.0,7790.0
Cirta,1020,0.7188,0.0,499.0,87.90686274509804,59.0,0.0,0.0,0.0,0.0,0.0,5210.0
Porolissum,967,0.6814,0.0,164.0,17.451913133402275,5.0,0.0,0.0,0.0,0.0,0.0,2601.0
Capua,929,0.6546,0.0,399.0,102.54574811625403,99.0,0.0,0.0,0.0,0.0,0.0,44416.0
Apulum (2),855,0.6025,0.0,199.0,95.34853801169591,99.0,0.0,0.0,0.0,0.0,0.0,16831.0
Sarmizegetusa,700,0.4933,0.0,299.0,98.65,99.0,0.0,0.0,0.0,0.0,0.0,4291.0
Mediolanum (Italia (XI Transpadana)),639,0.4503,0.0,469.0,144.45539906103286,149.0,0.0,0.0,0.0,0.0,0.0,20991.0
Aventicum,609,0.4291,0.0,299.0,138.21346469622333,129.0,0.0,0.0,0.0,0.0,0.0,5022.0
Segobriga,595,0.4193,0.0,503.0,101.75126050420168,99.0,0.0,0.0,0.0,0.0,0.0,1030.0
Misenum,593,0.4179,0.0,299.0,97.24451939291737,99.0,0.0,0.0,0.0,0.0,0.0,1422.0
Colonia Augusta Treverorum,587,0.4136,0.0,399.0,176.1771720613288,199.0,0.0,0.0,0.0,0.0,0.0,28210.0
Augusta Emerita,557,0.3925,0.0,399.0,78.05026929982047,60.0,0.0,0.0,0.0,0.0,0.0,14841.0
Herculaneum,528,0.3721,0.0,129.0,58.99810606060606,78.0,0.0,0.0,0.0,0.0,0.0,2290.0
Corduba,515,0.3629,0.0,201.0,63.6873786407767,59.0,0.0,0.0,0.0,0.0,0.0,19404.0
Brundisium,456,0.3213,0.0,199.0,69.31359649122807,59.0,0.0,0.0,0.0,0.0,0.0,10384.0
Ammaedara,451,0.3178,0.0,299.0,125.0,99.0,0.0,0.0,0.0,0.0,0.0,11979.0
Brigetio,447,0.315,0.0,299.0,120.23266219239373,99.0,0.0,0.0,0.0,0.0,0.0,7999.0
Carthago,442,0.3115,0.0,299.0,90.47058823529412,99.0,0.0,0.0,0.0,0.0,0.0,102074.0
Lepcis Magna,428,0.3016,0.0,2059.0,69.49532710280374,39.0,0.0,0.0,0.0,0.0,0.0,153722.0
Neapolis (Italia (I Latium and Campania)),403,0.284,0.0,300.0,113.31265508684864,99.0,0.0,0.0,0.0,0.0,0.0,15086.0
Aricia,395,0.2783,0.0,299.0,69.45822784810126,49.0,0.0,0.0,0.0,0.0,0.0,2601.0
Caralis,395,0.2783,0.0,199.0,99.68354430379746,99.0,0.0,0.0,0.0,0.0,0.0,1000.0
Venusia,382,0.2692,0.0,299.0,93.53926701570681,99.0,0.0,0.0,0.0,0.0,0.0,6567.0
Poetovio,382,0.2692,0.0,599.0,133.41361256544502,99.0,0.0,0.0,0.0,0.0,0.0,1000.0
Lambaesis,380,0.2678,0.0,199.0,30.93421052631579,1.0,0.0,0.0,0.0,0.0,0.0,12916.0
Saguntum,375,0.2643,0.0,299.0,100.2,99.0,0.0,0.0,0.0,0.0,0.0,3420.0
Celeia,373,0.2628,0.0,399.0,128.33512064343162,99.0,0.0,0.0,0.0,0.0,0.0,1000.0
Verona,373,0.2628,0.0,250.0,75.89008042895442,60.0,0.0,0.0,0.0,0.0,0.0,8209.0
Patavium,351,0.2473,0.0,262.0,81.76068376068376,99.0,0.0,0.0,0.0,0.0,0.0,27923.0
Praeneste,346,0.2438,0.0,199.0,87.58092485549133,99.0,0.0,0.0,0.0,0.0,0.0,6567.0
Tergestum,346,0.2438,0.0,299.0,80.24277456647398,99.0,0.0,0.0,0.0,0.0,0.0,1559.0
Burdigala,333,0.2347,0.0,299.0,113.69969969969969,99.0,0.0,0.0,0.0,0.0,0.0,16077.0
Clusium,332,0.234,0.0,340.0,80.81927710843374,89.0,0.0,0.0,0.0,0.0,0.0,3252.0
Asisium,332,0.234,0.0,200.0,86.11746987951807,99.0,0.0,0.0,0.0,0.0,0.0,4113.0
Alba Fucentia,318,0.2241,0.0,227.0,79.17295597484276,99.0,0.0,0.0,0.0,0.0,0.0,4471.0
Thugga,308,0.217,0.0,349.0,72.2012987012987,49.0,0.0,0.0,0.0,0.0,0.0,3086.0
Corfinium,308,0.217,2.0,300.0,84.5909090909091,99.0,0.0,0.0,0.0,0.0,0.0,1030.0
Viminacium (1),305,0.2149,0.0,319.0,116.3344262295082,129.0,0.0,0.0,0.0,0.0,0.0,9280.0
Aeclanum,301,0.2121,0.0,299.0,100.65448504983388,99.0,0.0,0.0,0.0,0.0,0.0,2290.0
Andematunum,299,0.2107,1.0,400.0,178.6722408026756,199.0,0.0,0.0,0.0,0.0,0.0,5782.0
Clunia,291,0.2051,0.0,299.0,178.89690721649484,99.0,0.0,0.0,0.0,0.0,0.0,12211.0
Theveste,287,0.2022,0.0,329.0,116.9616724738676,99.0,0.0,0.0,0.0,0.0,0.0,11517.0
Narona,284,0.2001,0.0,599.0,138.5211267605634,128.0,0.0,0.0,0.0,0.0,0.0,2290.0
Philippi,280,0.1973,0.0,299.0,202.79642857142858,249.0,0.0,0.0,0.0,0.0,0.0,7999.0
Sirmium,279,0.1966,0.0,499.0,125.00358422939068,99.0,0.0,0.0,0.0,0.0,0.0,14111.0
Venafrum,274,0.1931,0.0,299.0,87.62408759124088,99.0,0.0,0.0,0.0,0.0,0.0,3420.0
Beneventum,272,0.1917,0.0,299.0,73.38970588235294,69.0,0.0,0.0,0.0,0.0,0.0,7172.0
Amiternum,270,0.1903,0.0,200.0,79.21111111111111,69.0,0.0,0.0,0.0,0.0,0.0,11060.0
Tibur,267,0.1881,0.0,199.0,60.835205992509366,49.0,0.0,0.0,0.0,0.0,0.0,6767.0
Altinum,266,0.1874,0.0,299.0,68.30827067669173,49.0,0.0,0.0,0.0,0.0,0.0,28787.0
Tarracina,259,0.1825,0.0,299.0,86.7992277992278,99.0,0.0,0.0,0.0,0.0,0.0,5782.0
Vindonissa,258,0.1818,0.0,399.0,75.63565891472868,71.0,0.0,0.0,0.0,0.0,0.0,1000.0
Concordia,258,0.1818,0.0,329.0,72.31395348837209,59.0,0.0,0.0,0.0,0.0,0.0,6171.0
Comum,255,0.1797,0.0,299.0,130.93725490196078,99.0,0.0,0.0,0.0,0.0,0.0,3086.0
Novae (Moesia Inferior),251,0.1769,0.0,499.0,98.84860557768924,99.0,0.0,0.0,0.0,0.0,0.0,1000.0
Perusia,247,0.1741,0.0,299.0,53.56275303643725,29.0,0.0,0.0,0.0,0.0,0.0,4837.0
Cemelenum,242,0.1705,0.0,399.0,168.06611570247935,149.0,0.0,0.0,0.0,0.0,0.0,1989.0
Durocortorum,241,0.1698,3.0,329.0,136.50207468879668,129.0,0.0,0.0,0.0,0.0,0.0,9280.0
Tusculum,238,0.1677,0.0,299.0,79.8109243697479,60.0,0.0,0.0,0.0,0.0,0.0,2138.0
Canusium,236,0.1663,0.0,249.0,88.21610169491525,99.0,0.0,0.0,0.0,0.0,0.0,2290.0
Cumae,236,0.1663,0.0,299.0,66.98728813559322,59.0,0.0,0.0,0.0,0.0,0.0,14596.0
Colonia Ulpia Traiana,234,0.1649,0.0,299.0,123.48717948717949,93.0,0.0,0.0,0.0,0.0,0.0,14596.0
Londinium,228,0.1607,0.0,367.0,42.01754385964912,39.0,0.0,0.0,0.0,0.0,0.0,36851.0
Carthago Nova,228,0.1607,0.0,199.0,50.64473684210526,44.0,0.0,0.0,0.0,0.0,0.0,9498.0
Tarraco,222,0.1564,0.0,299.0,105.92342342342343,99.0,0.0,0.0,0.0,0.0,0.0,12211.0
Aesernia,221,0.1557,1.0,200.0,114.64253393665159,99.0,0.0,0.0,0.0,0.0,0.0,1559.0
Ameria,221,0.1557,1.0,199.0,94.02262443438914,99.0,0.0,0.0,0.0,0.0,0.0,3086.0
Luna,218,0.1536,0.0,399.0,110.26605504587155,99.0,0.0,0.0,0.0,0.0,0.0,2760.0
Luceria,207,0.1459,0.0,199.0,76.67632850241546,99.0,0.0,0.0,0.0,0.0,0.0,13391.0
Augusta Vindelicum,207,0.1459,0.0,599.0,129.53140096618358,99.0,0.0,0.0,0.0,0.0,0.0,10608.0
Marruvium,207,0.1459,0.0,199.0,85.6328502415459,99.0,0.0,0.0,0.0,0.0,0.0,3086.0
Salernum,204,0.1438,0.0,199.0,88.76960784313725,99.0,0.0,0.0,0.0,0.0,0.0,3420.0
Tomis,204,0.1438,0.0,349.0,91.63725490196079,99.0,0.0,0.0,0.0,0.0,0.0,6171.0
Formiae,202,0.1423,0.0,299.0,85.88118811881188,99.0,0.0,0.0,0.0,0.0,0.0,2290.0
