urban_context_city,n,mean_date_range,mean_date_range_bca_lo,mean_date_range_bca_hi,mean_date_range_pct_lo,mean_date_range_pct_hi,median_date_range,median_date_range_bca_lo,median_date_range_bca_hi,median_date_range_pct_lo,median_date_range_pct_hi,latitude_null_rate,longitude_null_rate,not_before_null_rate,not_after_null_rate
Roma,65452,107.35129560594024,106.84799776935769,107.87529410865977,,,100.0,100.0,100.0,,,0.0,0.0,0.0,0.0
,40944,104.47521004298554,103.58889031359907,105.31004420672137,,,100.0,100.0,100.0,,,0.0,0.0,0.0,0.0
Pompeii,4511,48.64819330525383,47.55006582120851,49.62046948878471,,,79.0,,,,,0.0,0.0,0.0,0.0
Salona,3472,185.5625,182.174445600323,189.05218646293923,,,150.0,,,,,0.0,0.0,0.0,0.0
Mogontiacum,2971,65.41433860652978,62.826426878317676,68.09361536277515,,,29.0,,,,,0.0,0.0,0.0,0.0
Ostia,2647,74.1405364563657,72.0572487478604,76.25541752158551,,,80.0,,,,,0.0,0.0,0.0,0.0
Aquileia,2034,93.14601769911505,91.1276398744594,95.26629954078663,,,100.0,,,,,0.0,0.0,0.0,0.0
Puteoli,1780,92.52640449438202,90.33142141804227,94.67557454607464,,,100.0,,,,,0.0,0.0,0.0,0.0
Carnuntum (1),1648,149.64866504854368,144.27259740538753,154.70832297147936,,,130.0,,,,,0.0,0.0,0.0,0.0
Cirta,1020,88.90686274509804,86.23333333333333,92.00044861820763,,,60.0,,,,,0.0,0.0,0.0,0.0
Porolissum,967,18.451913133402275,16.83637917397326,20.22121648676501,,,6.0,,,,,0.0,0.0,0.0,0.0
Capua,929,103.54574811625403,99.36896572281287,107.8867717266477,,,100.0,,,,,0.0,0.0,0.0,0.0
Apulum (2),855,96.34853801169591,92.93395746370486,99.93654066844954,,,100.0,,,,,0.0,0.0,0.0,0.0
Sarmizegetusa,700,99.65,94.99555235115538,104.00631516841722,,,100.0,,,,,0.0,0.0,0.0,0.0
Mediolanum (Italia (XI Transpadana)),639,145.45539906103286,140.29236365730102,150.20485011252225,,,150.0,,,,,0.0,0.0,0.0,0.0
Aventicum,609,139.21346469622333,132.30773662841807,146.96390519326877,,,130.0,,,,,0.0,0.0,0.0,0.0
Segobriga,595,102.75126050420168,98.34789915966387,107.98142127916829,,,100.0,,,,,0.0,0.0,0.0,0.0
Misenum,593,98.24451939291737,95.0173422078763,101.44800243172641,,,100.0,,,,,0.0,0.0,0.0,0.0
Colonia Augusta Treverorum,587,177.1771720613288,170.64906303236796,183.3789447241041,,,200.0,,,,,0.0,0.0,0.0,0.0
Augusta Emerita,557,79.05026929982047,74.70785087568625,83.80397276110043,,,61.0,,,,,0.0,0.0,0.0,0.0
Herculaneum,528,59.99810606060606,57.49140048514544,62.54040010259515,,,79.0,,,,,0.0,0.0,0.0,0.0
Corduba,515,64.6873786407767,61.22460126149549,68.77864077669904,,,60.0,,,,,0.0,0.0,0.0,0.0
