# k=3 n_obs=2500 converged=True
# log_lik=-4351.148
         398560 function calls (398416 primitive calls) in 0.872 seconds

   Ordered by: cumulative time
   List reduced from 189 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.872    0.872 /home/shawn/Code/inscriptions/runs/2026-04-25-h1-simulation/code/forward_fit_cpl.py:277(fit_null_cpl_forward)
        8    0.000    0.000    0.871    0.109 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/scipy/optimize/_minimize.py:54(minimize)
        8    0.002    0.000    0.870    0.109 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/scipy/optimize/_lbfgsb_py.py:294(_minimize_lbfgsb)
      438    0.001    0.000    0.845    0.002 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/scipy/optimize/_differentiable_functions.py:409(fun_and_grad)
      446    0.001    0.000    0.765    0.002 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/scipy/optimize/_differentiable_functions.py:371(_update_grad)
      438    0.002    0.000    0.764    0.002 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/scipy/optimize/_differentiable_functions.py:35(__call__)
      438    0.013    0.000    0.763    0.002 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/scipy/optimize/_numdiff.py:278(approx_derivative)
     3942    0.009    0.000    0.748    0.000 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/scipy/_lib/_util.py:600(__call__)
     3942    0.080    0.000    0.733    0.000 /home/shawn/Code/inscriptions/runs/2026-04-25-h1-simulation/code/forward_fit_cpl.py:248(_neg_log_likelihood)
      438    0.013    0.000    0.725    0.002 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/scipy/optimize/_numdiff.py:663(_dense_difference)
     3504    0.010    0.000    0.701    0.000 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/scipy/optimize/_numdiff.py:871(__call__)
     3942    0.428    0.000    0.507    0.000 /home/shawn/Code/inscriptions/runs/2026-04-25-h1-simulation/code/forward_fit_cpl.py:193(_interval_integrals)
      884    0.001    0.000    0.087    0.000 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/scipy/optimize/_differentiable_functions.py:360(_update_fun)
     3943    0.044    0.000    0.071    0.000 /home/shawn/Code/inscriptions/runs/2026-04-25-h1-simulation/code/forward_fit_cpl.py:131(_unpack_params)
    16223    0.011    0.000    0.062    0.000 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2436(any)
     3943    0.017    0.000    0.056    0.000 /home/shawn/Code/inscriptions/runs/2026-04-25-h1-simulation/code/forward_fit_cpl.py:178(_normaliser)
    28954    0.056    0.000    0.056    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    16669    0.018    0.000    0.052    0.000 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:86(_wrapreduction_any_all)
     7885    0.008    0.000    0.036    0.000 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:2304(sum)
     7885    0.009    0.000    0.027    0.000 /home/shawn/Code/inscriptions/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:66(_wrapreduction)
