level,n,c_20pc_25y,a_50pc_50y,b_double_25y
empire,50000,0.792,1.000,1.000
province,100,0.007,0.008,0.379
province,250,0.052,0.107,0.342
province,500,0.110,0.264,0.435
province,1000,0.051,0.562,0.560
province,2500,0.076,0.973,0.882
province,5000,0.101,1.000,0.936
province,10000,0.197,1.000,0.978
province,25000,0.569,1.000,0.998
urban-area,25,0.014,0.016,0.681
urban-area,50,0.017,0.011,0.533
urban-area,100,0.014,0.004,0.368
urban-area,250,0.040,0.096,0.352
urban-area,500,0.093,0.258,0.427
urban-area,1000,0.046,0.566,0.575
urban-area,2500,0.086,0.977,0.866
