cell_id,alpha_true,mean_alpha_median,median_alpha_median,std_alpha_median,n_reps,shape_name,tier_weights_name,n,bias
shape=bimodal_alpha=0.05_tier=century_heavy_N=10000,0.05,0.05122056742144489,0.05101645617351576,0.00869543268351386,100,bimodal,century_heavy,10000,0.0012205674214448847
shape=bimodal_alpha=0.05_tier=century_heavy_N=2000,0.05,0.07350335504195118,0.07288032192767896,0.015003524603261572,100,bimodal,century_heavy,2000,0.023503355041951182
shape=bimodal_alpha=0.05_tier=century_heavy_N=50000,0.05,0.044751311935103136,0.044188461745425005,0.00681946060993139,100,bimodal,century_heavy,50000,-0.005248688064896867
shape=bimodal_alpha=0.05_tier=half_century_heavy_N=10000,0.05,0.06194957011123298,0.06114399578057098,0.011169088467054956,100,bimodal,half_century_heavy,10000,0.011949570111232974
shape=bimodal_alpha=0.05_tier=half_century_heavy_N=2000,0.05,0.08515274318585629,0.08321380599771083,0.017644697490736706,100,bimodal,half_century_heavy,2000,0.03515274318585629
shape=bimodal_alpha=0.05_tier=half_century_heavy_N=50000,0.05,0.06090942907367824,0.06008597589490901,0.007861361085749174,100,bimodal,half_century_heavy,50000,0.010909429073678235
shape=bimodal_alpha=0.05_tier=pilot_proxy_N=10000,0.05,0.054333013692014064,0.05315761112882811,0.011004726510980995,100,bimodal,pilot_proxy,10000,0.004333013692014061
shape=bimodal_alpha=0.05_tier=pilot_proxy_N=2000,0.05,0.07603609066557851,0.07667655032558311,0.01564626714048362,100,bimodal,pilot_proxy,2000,0.026036090665578507
shape=bimodal_alpha=0.05_tier=pilot_proxy_N=50000,0.05,0.0481565401084713,0.04793045667273476,0.006765389631231737,100,bimodal,pilot_proxy,50000,-0.0018434598915287037
shape=bimodal_alpha=0.05_tier=reign_heavy_N=10000,0.05,0.06756617853048354,0.06714721966031119,0.01321304752267229,100,bimodal,reign_heavy,10000,0.017566178530483534
shape=bimodal_alpha=0.05_tier=reign_heavy_N=2000,0.05,0.08643013004906347,0.08299354336802066,0.022420280079325505,100,bimodal,reign_heavy,2000,0.03643013004906347
shape=bimodal_alpha=0.05_tier=reign_heavy_N=50000,0.05,0.06766672371332977,0.06750413364979635,0.010514737441031673,100,bimodal,reign_heavy,50000,0.017666723713329766
shape=bimodal_alpha=0.05_tier=uniform_N=10000,0.05,0.06248814468835445,0.06020324511927592,0.011518634870640454,100,bimodal,uniform,10000,0.01248814468835445
