shape_name,alpha_true,n,cov95,cov50,band_width,n_reps
regnal_cluster,0.3,2000,0.89375,0.3770833333333333,0.011501592950895255,30
regnal_cluster,0.3,50000,0.22958333333333333,0.060000000000000005,0.003248227829444469,30
regnal_cluster,0.7,2000,0.9833333333333333,0.5066666666666666,0.02040351860172357,30
regnal_cluster,0.7,50000,0.6941666666666666,0.21958333333333335,0.0066271433489005155,30
rise_and_fall,0.3,2000,0.76875,0.36541666666666667,0.0077350914081209966,30
rise_and_fall,0.3,50000,0.545,0.1720833333333333,0.0027302155428587864,30
rise_and_fall,0.7,2000,0.7875,0.255,0.013290432351834209,30
rise_and_fall,0.7,50000,0.5704166666666667,0.16125,0.005334846722797251,30
smooth_growth,0.3,2000,0.9979166666666667,0.7308333333333333,0.008294846984417448,30
smooth_growth,0.3,50000,0.9904166666666666,0.5929166666666668,0.0027508588853023762,30
smooth_growth,0.7,2000,0.98875,0.5645833333333333,0.015243933379754491,30
smooth_growth,0.7,50000,0.9883333333333333,0.6495833333333334,0.005112375833762664,30
