nb,na,n,width,category,env_overlap_frac,share_corpus,cum_n,cum_share_corpus
101,200,9517,100,century,1.0,0.08679751199314156,9517,0.08679751199314156
1,100,7326,100,century,1.0,0.06681502289185196,16843,0.15361253488499352
101,300,4666,200,multi_century,1.0,0.04255513197015851,21509,0.19616766685515202
1,300,4259,300,multi_century,1.0,0.03884318625394451,25768,0.23501085310909656
151,300,3335,150,multi_century,1.0,0.03041606624956679,29103,0.26542691935866336
201,300,3253,100,century,1.0,0.02966820495047699,32356,0.2950951243091403
1,79,3202,79,other,1.0,0.029203071703482117,35558,0.32429819601262244
1,200,3118,200,multi_century,1.0,0.02843696988490232,38676,0.35273516589752474
1,50,2948,50,half_century,1.0,0.02688652572825274,41624,0.3796216916257775
151,250,2469,100,other,1.0,0.02251792131039892,44093,0.40213961293617645
171,230,1790,60,other,1.0,0.01632526494354559,45883,0.41846487787972203
71,130,1581,60,other,1.0,0.014419130656841106,47464,0.4328840085365631
101,150,1527,50,half_century,1.0,0.01392663663061124,48991,0.44681064516717434
151,200,1492,50,half_century,1.0,0.013607427539536325,50483,0.4604180727067107
51,100,1352,50,half_century,1.0,0.01233059117523667,51835,0.47274866388194736
301,500,1249,200,multi_century,0.25,0.011391204421501924,53084,0.4841398683034493
301,400,1170,100,century,0.5,0.010670703901647118,54254,0.4948105722050964
1,150,1167,150,multi_century,1.0,0.010643343122412127,55421,0.5054539153275085
51,150,1068,100,other,1.0,0.00974043740765737,56489,0.5151943527351659
101,250,1066,150,multi_century,1.0,0.009722196888167375,57555,0.5249165496233332
51,200,1031,150,multi_century,1.0,0.009402987797092461,58586,0.5343195374204257
201,250,1024,50,half_century,1.0,0.00933914597887748,59610,0.5436586833993032
43,70,948,28,other,1.0,0.008646006238257665,60558,0.5523046896375609
171,300,905,130,other,1.0,0.008253835069222771,61463,0.5605585247067837
-50,-1,866,50,other,1.0,0.007898144939167868,62329,0.5684566696459515
71,200,756,130,other,1.0,0.006894916367218139,63085,0.5753515860131696
212,217,713,6,reign:Caracallan,1.0,0.006502745198183244,63798,0.5818543312113529
-30,30,701,61,bc_ad_boundary,1.0,0.006393302081243273,64499,0.5882476332925962
31,70,684,40,other,1.0,0.006238257665578316,65183,0.5944858909581745
131,170,668,40,other,1.0,0.006092333509658355,65851,0.6005782244678328
151,230,603,80,other,1.0,0.005499516626233515,66454,0.6060777410940663
171,250,582,80,other,1.0,0.005307991171588567,67036,0.611385732265655
71,100,571,30,other,1.0,0.005207668314393594,67607,0.6165934005800485
71,150,570,80,other,1.0,0.005198548054648596,68177,0.6217919486346971
301,600,559,300,multi_century,0.1667,0.005098225197453623,68736,0.6268901738321507
201,400,522,200,multi_century,0.75,0.004760775586888715,69258,0.6316509494190394
-27,14,517,42,reign:Augustan,1.0,0.004715174288163727,69775,0.6363661237072031
-100,-1,506,100,other,0.5,0.004614851430968754,70281,0.640980975138172
101,230,460,130,other,1.0,0.004195319482698867,70741,0.6451762946208708
122,300,455,179,other,1.0,0.00414971818397388,71196,0.6493260128048447
171,200,451,30,other,1.0,0.00411323714499389,71647,0.6534392499498386
1,70,440,70,other,1.0,0.004012914287798917,72087,0.6574521642376375
1,30,437,30,other,1.0,0.003985553508563924,72524,0.6614377177462014
71,300,431,230,other,1.0,0.0039308319500939385,72955,0.6653685496962953
131,200,415,70,other,1.0,0.003784907794173978,73370,0.6691534574904693
51,300,390,250,multi_century,1.0,0.0035569013005490395,73760,0.6727103587910184
201,270,364,70,other,1.0,0.003319774547179104,74124,0.6760301333381975
-30,117,355,148,bc_ad_boundary,1.0,0.003237692209474126,74479,0.6792678255476716
151,270,347,120,other,1.0,0.0031647301315141456,74826,0.6824325556791857
123,123,332,1,year_precise,1.0,0.0030279262353391824,75158,0.6854604819145249
107,275,320,169,other,1.0,0.002918483118399212,75478,0.6883789650329242
-13,97,315,111,bc_ad_boundary,1.0,0.002872881819674224,75793,0.6912518468525983
101,130,310,30,other,1.0,0.0028272805209492366,76103,0.6940791273735476
117,138,293,22,reign:Hadrianic,1.0,0.0026722361052842784,76396,0.6967513634788319
122,138,291,17,other,1.0,0.0026539955857942834,76687,0.6994053590646262
138,161,288,24,reign:Antonine-Pius,1.0,0.002626634806559291,76975,0.7020319938711854
-50,50,285,101,bc_ad_boundary,1.0,0.002599274027324298,77260,0.7046312678985097
222,235,283,14,other,1.0,0.002581033507834303,77543,0.7072123014063441
-30,-1,275,30,other,1.0,0.002508071429874323,77818,0.7097203728362184
69,86,271,18,other,1.0,0.0024715903908943326,78089,0.7121919632271128
-70,-31,248,40,other,0.5,0.002261824416759389,78337,0.7144537876438721
201,230,234,30,other,1.0,0.002134140780329424,78571,0.7165879284242015
1,600,227,600,multi_century,0.5833,0.002070298962114441,78798,0.718658227386316
78,79,217,2,other,1.0,0.001979096364664466,79015,0.7206373237509804
-20,30,214,51,bc_ad_boundary,1.0,0.001951735585429473,79229,0.7225890593364099
-30,50,206,81,bc_ad_boundary,1.0,0.0018787735074694927,79435,0.7244678328438794
1,355,199,355,other,0.9859,0.00181493168925451,79634,0.7262827645331339
171,270,197,100,other,1.0,0.001796691169764515,79831,0.7280794557028984
211,222,192,12,other,1.0,0.0017510898710395271,80023,0.7298305455739379
51,79,187,29,other,1.0,0.0017054885723145395,80210,0.7315360341462525
77,79,186,3,other,1.0,0.001696368312569542,80396,0.733232402458822
107,250,184,144,other,1.0,0.0016781277930795469,80580,0.7349105302519016
251,300,183,50,half_century,1.0,0.0016690075333345494,80763,0.7365795377852361
31,100,179,70,other,1.0,0.0016325264943545593,80942,0.7382120642795906
51,130,179,80,other,1.0,0.0016325264943545593,81121,0.7398445907739453
51,90,179,40,other,1.0,0.0016325264943545593,81300,0.7414771172682998
231,270,171,40,other,1.0,0.001559564416394579,81471,0.7430366816846944
76,78,166,3,other,1.0,0.0015139631176695912,81637,0.744550644802364
213,214,166,2,other,1.0,0.0015139631176695912,81803,0.7460646079200336
301,350,165,50,half_century,1.0,0.0015048428579245937,81968,0.7475694507779581
43,300,163,258,other,1.0,0.0014866023384345986,82131,0.7490560531163928
1,130,158,130,other,1.0,0.001441001039709611,82289,0.7504970541561024
107,270,151,164,other,1.0,0.0013771592214946282,82440,0.751874213377597
51,250,148,200,multi_century,1.0,0.0013497984422596355,82588,0.7532240118198567
-30,14,146,45,bc_ad_boundary,1.0,0.0013315579227696406,82734,0.7545555697426263
69,96,146,28,reign:Flavian,1.0,0.0013315579227696406,82880,0.7558871276653959
253,259,140,7,other,1.0,0.0012768363642996553,83020,0.7571639640296955
131,230,140,100,other,1.0,0.0012768363642996553,83160,0.7584408003939952
-20,50,139,71,bc_ad_boundary,1.0,0.0012677161045546578,83299,0.7597085164985499
14,37,137,24,reign:Tiberian,1.0,0.0012494755850646626,83436,0.7609579920836146
193,235,133,43,reign:Severan-dynasty,1.0,0.0012129945460846725,83569,0.7621709866296992
