,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
alpha_0,8,2.04,4.7,11,1669,2599,1.00,0.05,0.036
beta_within,0.681,0.044,0.61,0.75,11702,9091,1.00,0.00041,0.00029
beta_between,-0.01,0.259,-0.43,0.41,1655,2707,1.00,0.0064,0.0046
sigma_prov,0.764,0.109,0.61,0.95,2310,3897,1.00,0.0023,0.0018
inv_dispersion,1.588,0.068,1.5,1.7,8613,8004,1.00,0.00073,0.00051
dispersion,0.6308,0.027,0.59,0.67,8613,8004,1.00,0.00029,0.0002
alpha_prov_raw[0],1.35,0.424,0.71,2.1,4666,6224,1.00,0.0062,0.0047
alpha_prov_raw[1],-0.55,0.285,-1,-0.1,3181,5392,1.00,0.005,0.0037
alpha_prov_raw[2],0.45,0.8,-0.8,1.7,8823,8305,1.00,0.0085,0.006
alpha_prov_raw[3],0.71,0.75,-0.44,1.9,9306,8194,1.00,0.0078,0.0056
alpha_prov_raw[4],-0.1,0.88,-1.5,1.4,11975,8620,1.00,0.0081,0.0057
alpha_prov_raw[5],-0.16,0.342,-0.7,0.39,4716,6650,1.00,0.005,0.0037
alpha_prov_raw[6],-0.98,0.5,-1.8,-0.18,4145,6300,1.00,0.0078,0.0057
alpha_prov_raw[7],-1.07,0.37,-1.7,-0.49,2771,4313,1.00,0.007,0.005
alpha_prov_raw[8],-1.31,0.52,-2.1,-0.47,4434,6281,1.00,0.0078,0.0058
alpha_prov_raw[9],-0.63,0.41,-1.3,0.0051,3545,5552,1.00,0.0068,0.0051
alpha_prov_raw[10],-0.47,0.397,-1.1,0.16,4963,6912,1.00,0.0056,0.0041
alpha_prov_raw[11],0.13,0.84,-1.2,1.5,8983,7957,1.00,0.0089,0.0063
alpha_prov_raw[12],1.3,0.47,0.57,2.1,5033,6712,1.00,0.0066,0.0048
alpha_prov_raw[13],-0.18,0.37,-0.78,0.41,2844,4388,1.00,0.007,0.0051
alpha_prov_raw[14],0.034,0.307,-0.45,0.53,4477,6068,1.00,0.0046,0.0034
alpha_prov_raw[15],-1.26,0.396,-1.9,-0.64,4088,5639,1.00,0.0062,0.0045
alpha_prov_raw[16],-0.17,0.69,-1.2,0.97,7071,7772,1.00,0.0082,0.0059
alpha_prov_raw[17],0.53,0.435,-0.14,1.2,5643,6416,1.00,0.0058,0.0042
alpha_prov_raw[18],-0.97,0.353,-1.5,-0.41,3043,4785,1.00,0.0064,0.0045
alpha_prov_raw[19],1.51,0.334,1,2.1,2814,4319,1.00,0.0063,0.0046
alpha_prov_raw[20],-0.66,0.448,-1.4,0.065,6379,7021,1.00,0.0056,0.0042
alpha_prov_raw[21],-0.58,0.51,-1.4,0.22,2711,4670,1.00,0.0097,0.0071
alpha_prov_raw[22],-1,0.451,-1.7,-0.27,5480,7316,1.00,0.0061,0.0044
alpha_prov_raw[23],-1,0.424,-1.7,-0.33,4349,5779,1.00,0.0064,0.0048
alpha_prov_raw[24],0.45,0.57,-0.43,1.4,7431,7432,1.00,0.0067,0.005
alpha_prov_raw[25],1.17,0.46,0.46,1.9,5934,7116,1.00,0.006,0.0043
alpha_prov_raw[26],0.83,0.5,0.064,1.6,6992,6749,1.00,0.006,0.0044
alpha_prov_raw[27],0.67,0.501,-0.093,1.5,7504,7567,1.00,0.0058,0.0043
alpha_prov_raw[28],0.35,0.436,-0.32,1.1,6586,7279,1.00,0.0054,0.0041
alpha_prov_raw[29],0.13,0.594,-0.78,1.1,7931,7634,1.00,0.0067,0.0049
alpha_prov_raw[30],1.18,0.426,0.53,1.9,5766,6838,1.00,0.0056,0.0042
alpha_prov_raw[31],-0.19,0.404,-0.82,0.46,5309,6295,1.00,0.0055,0.0042
alpha_prov_raw[32],-0.59,0.69,-1.6,0.54,8220,8734,1.00,0.0076,0.0056
alpha_prov_raw[33],0.69,0.37,0.12,1.3,3761,5592,1.00,0.006,0.0045
alpha_prov_raw[34],0.79,0.529,-0.02,1.7,6506,7298,1.00,0.0066,0.0048
alpha_prov_raw[35],-2.06,0.46,-2.8,-1.3,3491,5309,1.00,0.0078,0.0056
alpha_prov_raw[36],0.96,0.5,0.19,1.8,4479,5888,1.00,0.0074,0.0056
alpha_prov_raw[37],0.299,0.334,-0.23,0.84,4590,6449,1.00,0.0049,0.0036
alpha_prov_raw[38],0.91,0.372,0.34,1.5,4450,5977,1.00,0.0056,0.004
alpha_prov[0],1.013,0.302,0.54,1.5,5859,7436,1.00,0.0039,0.0029
alpha_prov[1],-0.414,0.209,-0.75,-0.078,3277,5602,1.00,0.0036,0.0026
alpha_prov[2],0.35,0.61,-0.6,1.4,8418,7423,1.00,0.0067,0.005
alpha_prov[3],0.54,0.579,-0.33,1.5,8401,7756,1.00,0.0064,0.0047
alpha_prov[4],-0.08,0.675,-1.1,1,12255,8875,1.00,0.0061,0.0045
alpha_prov[5],-0.121,0.256,-0.53,0.3,4665,6490,1.00,0.0037,0.0027
alpha_prov[6],-0.74,0.375,-1.3,-0.14,3812,5496,1.00,0.0061,0.0045
alpha_prov[7],-0.804,0.256,-1.2,-0.39,3292,4748,1.00,0.0045,0.0032
alpha_prov[8],-0.99,0.392,-1.6,-0.35,4158,6318,1.00,0.0061,0.0044
alpha_prov[9],-0.48,0.304,-0.96,0.0038,3450,5092,1.00,0.0052,0.0039
alpha_prov[10],-0.351,0.294,-0.81,0.12,5290,6886,1.00,0.004,0.0029
alpha_prov[11],0.11,0.64,-0.89,1.1,9091,7910,1.00,0.0067,0.0049
alpha_prov[12],0.976,0.346,0.44,1.5,6188,7440,1.00,0.0044,0.0032
alpha_prov[13],-0.13,0.281,-0.58,0.31,2832,4388,1.00,0.0053,0.0038
alpha_prov[14],0.026,0.231,-0.34,0.4,4324,6104,1.00,0.0035,0.0025
alpha_prov[15],-0.952,0.283,-1.4,-0.5,4316,6266,1.00,0.0043,0.0031
alpha_prov[16],-0.13,0.519,-0.93,0.72,6954,7727,1.00,0.0062,0.0045
alpha_prov[17],0.395,0.323,-0.11,0.92,5880,7944,1.00,0.0042,0.0031
alpha_prov[18],-0.726,0.247,-1.1,-0.33,3616,5623,1.00,0.0041,0.003
alpha_prov[19],1.135,0.201,0.82,1.5,3298,5202,1.00,0.0035,0.0025
alpha_prov[20],-0.497,0.332,-1,0.05,7097,7046,1.00,0.004,0.0029
alpha_prov[21],-0.44,0.38,-1.1,0.17,2598,4493,1.00,0.0075,0.0055
alpha_prov[22],-0.754,0.332,-1.3,-0.21,6509,7409,1.00,0.0041,0.0029
alpha_prov[23],-0.754,0.305,-1.2,-0.25,5472,6982,1.00,0.0041,0.003
alpha_prov[24],0.34,0.433,-0.32,1.1,7317,7457,1.00,0.0051,0.0038
alpha_prov[25],0.881,0.344,0.35,1.5,6120,7938,1.00,0.0044,0.0031
alpha_prov[26],0.624,0.376,0.05,1.2,7792,7377,1.00,0.0043,0.0032
alpha_prov[27],0.506,0.379,-0.069,1.1,7191,7154,1.00,0.0045,0.0033
alpha_prov[28],0.266,0.327,-0.24,0.81,6750,7848,1.00,0.004,0.003
alpha_prov[29],0.1,0.45,-0.59,0.85,7995,7623,1.00,0.0051,0.0037
alpha_prov[30],0.889,0.31,0.41,1.4,7200,7969,1.00,0.0037,0.0026
alpha_prov[31],-0.143,0.302,-0.61,0.35,5345,6931,1.00,0.0041,0.003
alpha_prov[32],-0.45,0.517,-1.2,0.4,8670,8692,1.00,0.0056,0.004
alpha_prov[33],0.518,0.274,0.088,0.96,3512,4799,1.00,0.0046,0.0034
alpha_prov[34],0.6,0.406,-0.016,1.3,5910,7417,1.00,0.0053,0.0039
alpha_prov[35],-1.549,0.312,-2,-1,4335,5939,1.00,0.0047,0.0034
alpha_prov[36],0.72,0.366,0.15,1.3,4864,5994,1.00,0.0052,0.0038
alpha_prov[37],0.226,0.251,-0.18,0.64,4383,6153,1.00,0.0038,0.0027
alpha_prov[38],0.685,0.27,0.26,1.1,5008,6531,1.00,0.0038,0.0027
